"provinsi","kabupaten_kota","kabkota","ibu_kota","bupati_wali_kota","luas_wilayah","jumlah_penduduk","kecamatan","total_kelurahan_desa"
"Sumatra Utara","Serdang Bedagai","Kabupaten","Sei Rampah","Darma Wijaya",1949.18,669746,17,243
"Sumatra Utara","Simalungun","Kabupaten","Raya","Radiapoh Hasiholan Sinaga",4601.48,1039056,32,413
"Sumatra Utara","Tapanuli Selatan","Kabupaten","Sipirok","Dolly Putra Parlindungan Pasaribu",4201.04,315713,14,248
"Sumatra Utara","Tapanuli Tengah","Kabupaten","Pandan","Elfin Elyas Nainggolan (Pj.)",2307.68,366361,20,215
"Sumatra Utara","Tapanuli Utara","Kabupaten","Tarutung","Nikson Nababan",3895.6,321514,15,252
"Sumatra Utara","Toba","Kabupaten","Balige","Poltak Sitorus",2291.62,213924,16,244
"Sumatra Utara","Binjai","Kota","Binjai","Amir Hamzah",93.77,300499,5,37
"Sumatra Utara","Gunungsitoli","Kota","Gunungsitoli","Lakhomizaro Zebua",208.68,137249,6,101
"Sumatra Utara","Medan","Kota","Medan","Bobby Nasution",279.29,2527050,21,151
"Sumatra Utara","Padang Sidempuan","Kota","Padang Sidempuan","Irsan Efendi Nasution",159.3,228744,6,79
"Sumatra Utara","Pematangsiantar","Kota","Pematangsiantar","Susanti Dewayani",75.92,274278,8,53
"Sumatra Utara","Sibolga","Kota","Sibolga","Jamaluddin Pohan",11.47,95527,4,17
"Sumatra Utara","Tanjungbalai","Kota","Tanjungbalai","Waris Thalib",60.07,179589,6,31
"Sumatra Utara","Tebing Tinggi","Kota","Tebing Tinggi","Muhammad Dimiyathi (Pj.)",39.17,177029,5,35
"Sumatra Barat","Agam","Kabupaten","Lubuk Basung","Andri Warman",1804.3,529138,16,92
"Sumatra Barat","Dharmasraya","Kabupaten","Pulau Punjung","Sutan Riska Tuanku Kerajaan",2961.13,228591,11,52
"Sumatra Barat","Kepulauan Mentawai","Kabupaten","Tua Pejat","Martinus Dahlan (Pj.)",6011.35,87623,10,43
"Sumatra Barat","Lima Puluh Kota","Kabupaten","Sarilamak","Safaruddin Datuak Bandaro Rajo",3571.14,383525,13,79
"Sumatra Barat","Padang Pariaman","Kabupaten","Parit Malintang","Suhatri Bur",1332.51,430626,17,103
"Sumatra Barat","Pasaman","Kabupaten","Lubuk Sikaping","Benny Utama",3947.63,299851,12,62
"Sumatra Barat","Pasaman Barat","Kabupaten","Simpang Ampek","Hamsuardi",3887.77,431672,11,90
"Sumatra Barat","Pesisir Selatan","Kabupaten","Painan","Rusma Yul Anwar",5749.89,504418,15,182
"Sumatra Barat","Sijunjung","Kabupaten","Muaro Sijunjung","Benny Dwifa Yuswir",3130.4,235045,8,62
"Sumatra Barat","Solok","Kabupaten","Arosuka","Epyardi Asda",3738,391497,14,74
"Sumatra Barat","Solok Selatan","Kabupaten","Padang Aro","Khairunas",3346.2,182027,7,39
"Sumatra Barat","Tanah Datar","Kabupaten","Batusangkar","Eka Putra",1336.1,371704,14,75
"Sumatra Barat","Bukittinggi","Kota","Bukittinggi","Erman Safar",25.24,121028,3,24
"Sumatra Barat","Padang","Kota","Padang","Hendri Septa",693.66,909040,11,104
"Sumatra Barat","Padang Panjang","Kota","Padang Panjang","Fadly Amran",23,56311,2,16
"Sumatra Barat","Pariaman","Kota","Pariaman","Genius Umar",66.13,94224,4,71
"Sumatra Barat","Payakumbuh","Kota","Payakumbuh","Rida Ananda (Pj.)",85.22,139576,5,47
"Sumatra Barat","Sawahlunto","Kota","Sawahlunto","Deri Asta",231.93,65138,4,37
"Sumatra Barat","Solok","Kota","Solok","Zul Elfian",71.29,73438,2,13
"Riau","Bengkalis","Kabupaten","Bengkalis","Kasmarni",6975.41,592390,11,155
"Riau","Indragiri Hilir","Kabupaten","Tembilahan","Muhammad Wardan",12614.78,663248,20,236
"Riau","Indragiri Hulu","Kabupaten","Rengat","Rezita Meylani Yopi",7723.8,475002,14,194
"Riau","Kampar","Kabupaten","Bangkinang","Muhammad Firdaus (Pj.)",10983.47,898840,21,250
"Riau","Kepulauan Meranti","Kabupaten","Selatpanjang","Asmar (Plt.)",3707.84,217607,9,101
"Riau","Kuantan Singingi","Kabupaten","Koto Taluk","Suhardiman Amby (Plt.)",5259.36,351786,15,229
"Riau","Pelalawan","Kabupaten","Pangkalan Kerinci","Zukri",12758.45,422907,12,118
"Riau","Rokan Hilir","Kabupaten","Bagansiapiapi","Afrizal Sintong",8881.59,669996,15,184
"Riau","Rokan Hulu","Kabupaten","Pasir Pengaraian","Sukiman",7588.13,594438,16,145
"Riau","Siak","Kabupaten","Siak","Alfedri",8275.18,488497,14,131
"Riau","Dumai","Kota","Dumai","Paisal",1623.38,340310,7,36
"Riau","Pekanbaru","Kota","Pekanbaru","Muflihun (Pj.)",632.27,1020308,15,83
"Jambi","Batanghari","Kabupaten","Muara Bulian","Muhammad Fadhil Arief",5804.83,301700,8,124
"Jambi","Bungo","Kabupaten","Muara Bungo","Mashuri",4659,355927,17,153
"Jambi","Kerinci","Kabupaten","Siulak","Adirozal",3807.28,254241,16,287
"Jambi","Merangin","Kabupaten","Bangko","Mashuri",7668.61,357315,24,215
"Jambi","Muaro Jambi","Kabupaten","Sengeti","Bachyuni Deliansyah (Pj.)",5246,406799,11,155
"Jambi","Sarolangun","Kabupaten","Sarolangun","Henrizal (Pj.)",6174,279532,10,158
"Jambi","Tanjung Jabung Barat","Kabupaten","Kuala Tungkal","Anwar Sadat",5009.82,323466,13,134
"Jambi","Tanjung Jabung Timur","Kabupaten","Muara Sabak","Romi Hariyanto",5445,232048,11,93
"Jambi","Tebo","Kabupaten","Muara Tebo","Aspan (Pj.)",6461,335228,12,112
"Jambi","Jambi","Kota","Jambi","Syarif Fasha",205.38,621365,11,62
"Jambi","Sungai Penuh","Kota","Sungai Penuh","Ahmadi Zubir",391.5,97190,8,69
"Sumatra Selatan","Banyuasin","Kabupaten","Pangkalan Balai","Askolani Jasi",11832.99,843871,21,304
