"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value","...11"
"J&T Express Laut Dendang",3.8,21,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Laut+Dendang/data=!4m7!3m6!1s0x303133dfe475f74b:0xbb8b9e87e188389b!8m2!3d3.6208904!4d98.7257896!16s%2Fg%2F11gdkrvz86!19sChIJS_d15N8zMTARmziI4Yeei7s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Laut+Dendang/@3.6208904,98.7257896,17z/data=!3m1!4b1!4m6!3m5!1s0x303133dfe475f74b:0xbb8b9e87e188389b!8m2!3d3.6208904!4d98.7257896!16s%2Fg%2F11gdkrvz86?authuser=0&hl=id&entry=ttu","98.7257896","3.6208904","Telepon","0800 1001188",NA
"J&T Express Sei Mencirim",3.7,30,"unknown","https://www.google.com/maps/place/J%26T+Express+Sei+Mencirim/data=!4m7!3m6!1s0x30312fe6a02457c7:0xbf37a71e43490d1a!8m2!3d3.5894666!4d98.6016572!16s%2Fg%2F11qhfd9gg9!19sChIJx1ckoOYvMTARGg1JQx6nN78?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sei+Mencirim/@3.5894666,98.6016572,17z/data=!3m1!4b1!4m6!3m5!1s0x30312fe6a02457c7:0xbf37a71e43490d1a!8m2!3d3.5894666!4d98.6016572!16s%2Fg%2F11qhfd9gg9?authuser=0&hl=id&entry=ttu","98.6016572","3.5894666",NA,NA,NA
"J&T Express Galang LBK-02",3.8,28,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/data=!4m7!3m6!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0!19sChIJC69dWH5BMTAReKS34IqYKjU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/@3.4366843,98.897703,17z/data=!3m1!4b1!4m6!3m5!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0?authuser=0&hl=id&entry=ttu","98.897703","3.4366843","Alamat","ruko rest area, depan masjid syuhada Jl. Perintis Kemerdekaan No.30, Sungei Putih, Kec. Galang, Kabupaten Deli Serdang, Sumatera Utara 20585",NA
"J&T Express Galang LBK-02",3.8,28,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/data=!4m7!3m6!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0!19sChIJC69dWH5BMTAReKS34IqYKjU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/@3.4366843,98.897703,17z/data=!3m1!4b1!4m6!3m5!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0?authuser=0&hl=id&entry=ttu","98.897703","3.4366843","Situs Web","business.site",NA
"J&T Express Galang LBK-02",3.8,28,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/data=!4m7!3m6!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0!19sChIJC69dWH5BMTAReKS34IqYKjU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/@3.4366843,98.897703,17z/data=!3m1!4b1!4m6!3m5!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0?authuser=0&hl=id&entry=ttu","98.897703","3.4366843","Telepon","0822-7571-9575",NA
"J&T Express Galang LBK-02",3.8,28,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/data=!4m7!3m6!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0!19sChIJC69dWH5BMTAReKS34IqYKjU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Galang+LBK-02/@3.4366843,98.897703,17z/data=!3m1!4b1!4m6!3m5!1s0x3031417e585daf0b:0x352a988ae0b7a478!8m2!3d3.4366843!4d98.897703!16s%2Fg%2F11gtslyjv0?authuser=0&hl=id&entry=ttu","98.897703","3.4366843","Plus Codes","CVPX+M3 Sungei Putih, Kabupaten Deli Serdang, Sumatera Utara",NA
"J&T Cargo Sei Rampah",5,1,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/data=!4m7!3m6!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z!19sChIJ_QeGu2xZMTARe02OLKazP8U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/@3.4861284,99.1334241,17z/data=!3m1!4b1!4m6!3m5!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z?authuser=0&hl=id&entry=ttu","99.1334241","3.4861284","Alamat","Jl. Sudirman Komp. Ruko ABC No.88EK, Kec. Sei Rampah, Kabupaten Serdang Bedagai, Sumatera Utara 20695",NA
"J&T Cargo Sei Rampah",5,1,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/data=!4m7!3m6!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z!19sChIJ_QeGu2xZMTARe02OLKazP8U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/@3.4861284,99.1334241,17z/data=!3m1!4b1!4m6!3m5!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z?authuser=0&hl=id&entry=ttu","99.1334241","3.4861284","Situs Web","jtcargo.id",NA
"J&T Cargo Sei Rampah",5,1,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/data=!4m7!3m6!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z!19sChIJ_QeGu2xZMTARe02OLKazP8U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/@3.4861284,99.1334241,17z/data=!3m1!4b1!4m6!3m5!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z?authuser=0&hl=id&entry=ttu","99.1334241","3.4861284","Telepon","0813-6004-0770",NA
"J&T Cargo Sei Rampah",5,1,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/data=!4m7!3m6!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z!19sChIJ_QeGu2xZMTARe02OLKazP8U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Sei+Rampah/@3.4861284,99.1334241,17z/data=!3m1!4b1!4m6!3m5!1s0x3031596cbb8607fd:0xc53fb3a62c8e4d7b!8m2!3d3.4861284!4d99.1334241!16s%2Fg%2F11tfb6wf4z?authuser=0&hl=id&entry=ttu","99.1334241","3.4861284","Plus Codes","F4PM+F9 Sei Rampah, Kabupaten Serdang Bedagai, Sumatera Utara",NA
"J&T Express Km 12 (DES09)",3.1,220,"Buka ⋅ Tutup pukul 17.30","https://www.google.com/maps/place/J%26T+Express+Km+12+%28DES09%29/data=!4m7!3m6!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj!19sChIJIbcJ-7YuMTARjEpiHyf6cxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Km+12+(DES09)/@3.6051532,98.5798769,17z/data=!3m1!4b1!4m6!3m5!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj?authuser=0&hl=id&entry=ttu","98.5798769","3.6051532","Alamat","Kompleks BWTC Jl. Pembangunan No. 33A, Kel, Paya Geli, Sunggal, Deli Serdang Regency, North Sumatra 20351",NA
"J&T Express Km 12 (DES09)",3.1,220,"Buka ⋅ Tutup pukul 17.30","https://www.google.com/maps/place/J%26T+Express+Km+12+%28DES09%29/data=!4m7!3m6!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj!19sChIJIbcJ-7YuMTARjEpiHyf6cxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Km+12+(DES09)/@3.6051532,98.5798769,17z/data=!3m1!4b1!4m6!3m5!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj?authuser=0&hl=id&entry=ttu","98.5798769","3.6051532","Situs Web","jet.co.id",NA
"J&T Express Km 12 (DES09)",3.1,220,"Buka ⋅ Tutup pukul 17.30","https://www.google.com/maps/place/J%26T+Express+Km+12+%28DES09%29/data=!4m7!3m6!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj!19sChIJIbcJ-7YuMTARjEpiHyf6cxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Km+12+(DES09)/@3.6051532,98.5798769,17z/data=!3m1!4b1!4m6!3m5!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj?authuser=0&hl=id&entry=ttu","98.5798769","3.6051532","Telepon","0852-1379-5474",NA
"J&T Express Km 12 (DES09)",3.1,220,"Buka ⋅ Tutup pukul 17.30","https://www.google.com/maps/place/J%26T+Express+Km+12+%28DES09%29/data=!4m7!3m6!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj!19sChIJIbcJ-7YuMTARjEpiHyf6cxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Km+12+(DES09)/@3.6051532,98.5798769,17z/data=!3m1!4b1!4m6!3m5!1s0x30312eb6fb09b721:0x1573fa271f624a8c!8m2!3d3.6051532!4d98.5798769!16s%2Fg%2F11f_j2t0vj?authuser=0&hl=id&entry=ttu","98.5798769","3.6051532","Plus Codes","JH4H+3X Paya Geli, Kabupaten Deli Serdang, Sumatera Utara",NA
"J&T Dolok Masihul",3,1,"unknown","https://www.google.com/maps/place/J%26T+Dolok+Masihul/data=!4m7!3m6!1s0x303167d496f8c3cf:0xd469a3dc212b073c!8m2!3d3.339013!4d99.0175887!16s%2Fg%2F11rgh7f89w!19sChIJz8P4ltRnMTARPAcrIdyjadQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Dolok+Masihul/@3.339013,99.0175887,17z/data=!3m1!4b1!4m6!3m5!1s0x303167d496f8c3cf:0xd469a3dc212b073c!8m2!3d3.339013!4d99.0175887!16s%2Fg%2F11rgh7f89w?authuser=0&hl=id&entry=ttu","99.0175887","3.339013","Alamat","Jl. Perintis Kemerdekaan No.97a, Pekan Dolok Masihul, Kec. Dolok Masihul, Kabupaten Serdang Bedagai, Sumatera Utara 20991",NA
"J&T Dolok Masihul",3,1,"unknown","https://www.google.com/maps/place/J%26T+Dolok+Masihul/data=!4m7!3m6!1s0x303167d496f8c3cf:0xd469a3dc212b073c!8m2!3d3.339013!4d99.0175887!16s%2Fg%2F11rgh7f89w!19sChIJz8P4ltRnMTARPAcrIdyjadQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Dolok+Masihul/@3.339013,99.0175887,17z/data=!3m1!4b1!4m6!3m5!1s0x303167d496f8c3cf:0xd469a3dc212b073c!8m2!3d3.339013!4d99.0175887!16s%2Fg%2F11rgh7f89w?authuser=0&hl=id&entry=ttu","99.0175887","3.339013","Plus Codes","82Q9+J2 Pekan Dolok Masihul, Kabupaten Serdang Bedagai, Sumatera Utara",NA
