"provinsi","kabupaten_kota","ibu_kota","bupati_wali_kota","luas_wilayah_diff_sources_and_years","jumlah_penduduk_diff_sources_and_years","kecamatan","kelurahan_desa"
"Sumatra Utara","Kabupaten Karo","Kabanjahe","Cory Sriwaty Sebayang",2206.88,410465,17,"10/259"
"Sumatra Utara","Kabupaten Labuhanbatu","Rantau Prapat","Erik Adtrada Ritonga",2772.38,505875,9,"23/75"
"Sumatra Utara","Kabupaten Labuhanbatu Selatan","Kota Pinang","Edimin",3079.61,325451,5,"2/52"
"Sumatra Utara","Kabupaten Labuhanbatu Utara","Aek Kanopan","Hendri Yanto Sitorus",3686.01,396555,8,"8/82"
"Sumatra Utara","Kabupaten Langkat","Stabat","Syah Afandin (Plt.)",6140.04,1084108,23,"37/240"
"Sumatra Utara","Kabupaten Mandailing Natal","Panyabungan","Jafar Sukhairi Nasution",6547.26,491005,23,"27/377"
"Sumatra Utara","Kabupaten Nias","Gido","Ya'atulo Gulö",902.4,145644,10,"-/170"
"Sumatra Utara","Kabupaten Nias Barat","Lahomi","Khenoki Waruwu",464.22,96938,8,"-/105"
"Sumatra Utara","Kabupaten Nias Selatan","Teluk Dalam","Hilarius Duha",2531.7,367970,35,"2/459"
"Sumatra Utara","Kabupaten Nias Utara","Lotu","Amizaro Waruwu",1238.06,152378,11,"1/112"
"Sumatra Utara","Kabupaten Padang Lawas","Sibuhuan","Ali Sutan Harahap",3914.41,264041,12,"1/303"
"Sumatra Utara","Kabupaten Padang Lawas Utara","Gunung Tua","Andar Amin Harahap",3945.56,270595,9,"2/386"
"Sumatra Utara","Kabupaten Pakpak Bharat","Salak","Franc Bernhard Tumanggor",1365.61,55550,8,"-/52"
"Sumatra Utara","Kabupaten Samosir","Pangururan","Vandiko Gultom",1850.04,142318,9,"6/128"
"Sumatra Utara","Kabupaten Serdang Bedagai","Sei Rampah","Darma Wijaya",1949.18,669746,17,"6/237"
"Sumatra Utara","Kabupaten Simalungun","Raya","Radiapoh Hasiholan Sinaga",4601.48,1039056,32,"27/386"
"Sumatra Utara","Kabupaten Tapanuli Selatan","Sipirok","Dolly Putra Parlindungan Pasaribu",4201.04,315713,14,"37/211"
"Sumatra Utara","Kabupaten Tapanuli Tengah","Pandan","Elfin Elyas Nainggolan (Pj.)",2307.68,366361,20,"56/159"
"Sumatra Utara","Kabupaten Tapanuli Utara","Tarutung","Nikson Nababan",3895.6,321514,15,"11/241"
"Sumatra Utara","Kabupaten Toba","Balige","Poltak Sitorus",2291.62,213924,16,"13/231"
"Sumatra Utara","Kota Binjai","-","Amir Hamzah",93.77,300499,5,"37/-"
"Sumatra Utara","Kota Gunungsitoli","-","Lakhomizaro Zebua",208.68,137249,6,"3/98"
"Sumatra Utara","Kota Medan","-","Bobby Nasution",279.29,2527050,21,"151/-"
"Sumatra Utara","Kota Padang Sidempuan","-","Irsan Efendi Nasution",159.3,228744,6,"37/42"
"Sumatra Utara","Kota Pematangsiantar","-","Susanti Dewayani",75.92,274278,8,"53/-"
"Sumatra Utara","Kota Sibolga","-","Jamaluddin Pohan",11.47,95527,4,"17/-"
"Sumatra Utara","Kota Tanjungbalai","-","Waris Thalib",60.07,179589,6,"31/-"
"Sumatra Utara","Kota Tebing Tinggi","-","Muhammad Dimiyathi (Pj.)",39.17,177029,5,"35/-"
"Sumatra Barat","Kabupaten Agam","Lubuk Basung","Andri Warman",1804.3,529138,16,"-/92"
"Sumatra Barat","Kabupaten Dharmasraya","Pulau Punjung","Sutan Riska Tuanku Kerajaan",2961.13,228591,11,"-/52"
"Sumatra Barat","Kabupaten Kepulauan Mentawai","Tua Pejat","Martinus Dahlan (Pj.)",6011.35,87623,10,"-/43"
"Sumatra Barat","Kabupaten Lima Puluh Kota","Sarilamak","Safaruddin Datuak Bandaro Rajo",3571.14,383525,13,"-/79"
"Sumatra Barat","Kabupaten Padang Pariaman","Parit Malintang","Suhatri Bur",1332.51,430626,17,"-/103"
"Sumatra Barat","Kabupaten Pasaman","Lubuk Sikaping","Benny Utama",3947.63,299851,12,"-/62"
"Sumatra Barat","Kabupaten Pasaman Barat","Simpang Ampek","Hamsuardi",3887.77,431672,11,"-/90"
"Sumatra Barat","Kabupaten Pesisir Selatan","Painan","Rusma Yul Anwar",5749.89,504418,15,"-/182"
"Sumatra Barat","Kabupaten Sijunjung","Muaro Sijunjung","Benny Dwifa Yuswir",3130.4,235045,8,"-/62"
"Sumatra Barat","Kabupaten Solok","Arosuka","Epyardi Asda",3738,391497,14,"-/74"
"Sumatra Barat","Kabupaten Solok Selatan","Padang Aro","Khairunas",3346.2,182027,7,"-/39"
"Sumatra Barat","Kabupaten Tanah Datar","Batusangkar","Eka Putra",1336.1,371704,14,"-/75"
"Sumatra Barat","Kota Bukittinggi","-","Erman Safar",25.24,121028,3,"24/-"
"Sumatra Barat","Kota Padang","-","Hendri Septa",693.66,909040,11,"104/-"
"Sumatra Barat","Kota Padang Panjang","-","Fadly Amran",23,56311,2,"16/-"
"Sumatra Barat","Kota Pariaman","-","Genius Umar",66.13,94224,4,"16/55"
"Sumatra Barat","Kota Payakumbuh","-","Rida Ananda (Pj.)",85.22,139576,5,"47/-"
"Sumatra Barat","Kota Sawahlunto","-","Deri Asta",231.93,65138,4,"10/27"
"Sumatra Barat","Kota Solok","-","Zul Elfian",71.29,73438,2,"13/-"
"Riau","Kabupaten Bengkalis","Bengkalis","Kasmarni",6975.41,592390,11,"19/136"
"Riau","Kabupaten Indragiri Hilir","Tembilahan","Muhammad Wardan",12614.78,663248,20,"39/197"
"Riau","Kabupaten Indragiri Hulu","Rengat","Rezita Meylani Yopi",7723.8,475002,14,"16/178"
"Riau","Kabupaten Kampar","Bangkinang","Muhammad Firdaus (Pj.)",10983.47,898840,21,"8/242"
"Riau","Kabupaten Kepulauan Meranti","Selatpanjang","Asmar (Plt.)",3707.84,217607,9,"5/96"
"Riau","Kabupaten Kuantan Singingi","Koto Taluk","Suhardiman Amby",5259.36,351786,15,"11/218"
"Riau","Kabupaten Pelalawan","Pangkalan Kerinci","Zukri",12758.45,422907,12,"14/104"
"Riau","Kabupaten Rokan Hilir","Bagansiapiapi","Afrizal Sintong",8881.59,669996,15,"25/159"
"Riau","Kabupaten Rokan Hulu","Pasir Pengaraian","Sukiman",7588.13,594438,16,"6/139"
"Riau","Kabupaten Siak","Siak","Alfedri",8275.18,488497,14,"9/122"
"Riau","Kota Dumai","-","Paisal",1623.38,340310,7,"36/-"
"Riau","Kota Pekanbaru","-","Muflihun (Pj.)",632.27,1020308,15,"83/-"
"Jambi","Kabupaten Batanghari","Muara Bulian","Muhammad Fadhil Arief",5804.83,301700,8,"14/110"
"Jambi","Kabupaten Bungo","Muara Bungo","Mashuri",4659,355927,17,"12/141"
"Jambi","Kabupaten Kerinci","Siulak","Adirozal",3807.28,254241,16,"2/285"
"Jambi","Kabupaten Merangin","Bangko","Mashuri",7668.61,357315,24,"10/205"
"Jambi","Kabupaten Muaro Jambi","Sengeti","Bachyuni Deliansyah (Pj.)",5246,406799,11,"5/150"
"Jambi","Kabupaten Sarolangun","Sarolangun","Henrizal (Pj.)",6174,279532,10,"9/149"
"Jambi","Kabupaten Tanjung Jabung Barat","Kuala Tungkal","Anwar Sadat",5009.82,323466,13,"20/114"
"Jambi","Kabupaten Tanjung Jabung Timur","Muara Sabak","Romi Hariyanto",5445,232048,11,"20/73"
"Jambi","Kabupaten Tebo","Muara Tebo","Aspan (Pj.)",6461,335228,12,"5/107"
"Jambi","Kota Jambi","-","Syarif Fasha",205.38,621365,11,"62/-"
"Jambi","Kota Sungai Penuh","-","Ahmadi Zubir",391.5,97190,8,"4/65"
"Sumatra Selatan","Kabupaten Banyuasin","Pangkalan Balai","Askolani Jasi",11832.99,843871,21,"16/288"
"Sumatra Selatan","Kabupaten Empat Lawang","Tebing Tinggi","Joncik Muhammad",2256.44,343839,10,"9/147"
"Sumatra Selatan","Kabupaten Lahat","Lahat","Cik Ujang",5311.74,434939,24,"18/360"
"Sumatra Selatan","Kabupaten Muara Enim","Muara Enim","Ahmad Usmarwi Kaffah (Plt.)",7383.9,617846,22,"10/245"
"Sumatra Selatan","Kabupaten Musi Banyuasin","Sekayu","Apriyadi (Pj.)",14266.26,627070,14,"13/227"
"Sumatra Selatan","Kabupaten Musi Rawas","Muara Beliti","Ratna Machmud",6350.1,398732,14,"13/186"
"Sumatra Selatan","Kabupaten Musi Rawas Utara","Rupit","Devi Suhartoni",6008.55,190420,7,"7/82"
"Sumatra Selatan","Kabupaten Ogan Ilir","Indralaya","Panca Wijaya Akbar",2666.09,419401,16,"14/227"
"Sumatra Selatan","Kabupaten Ogan Komering Ilir","Kayu Agung","Iskandar",18359.04,772742,18,"13/314"
"Sumatra Selatan","Kabupaten Ogan Komering Ulu","Baturaja","Teddy Meilwansyah (Pj.)",4797.06,371106,13,"14/143"
"Sumatra Selatan","Kabupaten Ogan Komering Ulu Selatan","Muaradua","Popo Ali Martopo",5493.94,416616,19,"7/252"
"Sumatra Selatan","Kabupaten Ogan Komering Ulu Timur","Martapura","Lanosin Hamzah",3370,653062,20,"7/305"
"Sumatra Selatan","Kabupaten Penukal Abab Lematang Ilir","Talang Ubi","Heri Amalindo",1840,197290,5,"6/65"
"Sumatra Selatan","Kota Lubuklinggau","-","SN Prana Putra Sohe",401.5,236828,8,"72/-"
"Sumatra Selatan","Kota Pagar Alam","-","Alfian Maskoni",633.66,195748,5,"35/-"
"Sumatra Selatan","Kota Palembang","-","Harnojoyo",369.22,1686073,18,"107/-"
"Sumatra Selatan","Kota Prabumulih","-","Ridho Yahya",456.9,195748,6,"25/12"
"Bengkulu","Kabupaten Bengkulu Selatan","Kota Manna","Gusnan Mulyadi",1186.7,166249,11,"16/142"
"Bengkulu","Kabupaten Bengkulu Tengah","Karang Tinggi","Heriyandi Roni (Pj.)",1223.94,116706,10,"1/142"
"Bengkulu","Kabupaten Bengkulu Utara","Kota Arga Makmur","Mian",4424.6,296523,19,"5/215"
"Bengkulu","Kabupaten Kaur","Kaur Selatan","Gusril Fauzi",2365,135200,15,"3/192"
"Bengkulu","Kabupaten Kepahiang","Kepahiang","Hidayatullah Sjahid",664.8,153232,8,"12/105"
"Bengkulu","Kabupaten Lebong","Tubei","Kopli Ansori",2427.31,118400,13,"11/93"
"Bengkulu","Kabupaten Mukomuko","Kota Mukomuko","Sapuan",4146.52,190498,15,"3/148"
"Bengkulu","Kabupaten Rejang Lebong","Curup","Syamsul Effendi",1515.76,257498,15,"34/122"
"Bengkulu","Kabupaten Seluma","Pasar Tais","Erwin Octavian",2479.36,207877,14,"20/182"
"Bengkulu","Kota Bengkulu","-","Helmi Hasan",152,371828,9,"67/-"
"Lampung","Kabupaten Lampung Selatan","Kalianda","Nanang Ermanto",2219.01,1064301,17,"4/256"
"Lampung","Kabupaten Lampung Tengah","Gunung Sugih","Musa Ahmad",4544.68,1460045,28,"10/301"
"Lampung","Kabupaten Lampung Timur","Sukadana","M. Dawam Rahardjo",3864.69,1110340,24,"-/264"
"Lampung","Kabupaten Lampung Utara","Kotabumi","Budi Utomo",2529.54,633099,23,"15/232"
"Lampung","Kabupaten Mesuji","Wiralaga Mulya","Sulpakar (Pj.)",2205.57,227518,7,"-/105"
"Lampung","Kabupaten Pesawaran","Gedong Tataan","Dendi Ramadhona",1278.21,477468,11,"-/144"
"Lampung","Kabupaten Pesisir Barat","Krui","Agus Istiqlal",2988.07,162697,11,"2/116"
"Lampung","Kabupaten Pringsewu","Pringsewu","Adi Erlansyah (Pj.)",614.48,405466,9,"5/126"
"Lampung","Kabupaten Tanggamus","Kota Agung","Dewi Handajani",2900.29,640275,20,"3/299"
"Lampung","Kabupaten Tulang Bawang","Menggala","Qodratul Ikhwan (Pj.)",3091.08,430021,15,"4/147"
"Lampung","Kabupaten Tulang Bawang Barat","Panaragan Jaya","M. Firsada (Pj.)",1285.74,286162,9,"3/93"
"Lampung","Kabupaten Way Kanan","Blambangan Umpu","Raden Adipati Surya",3657.49,473575,14,"6/221"
"Lampung","Kota Bandar Lampung","-","Eva Dwiana",183.31,1166066,20,"126/-"
"Lampung","Kota Metro","-","Wahdi",73.15,168676,5,"22/-"
"Lampung","Kabupaten Lampung Barat","Liwa","Nukman (Pj.)",2142.78,302139,15,"5/131"
"Kepulauan Riau","Kabupaten Bangka","Sungai Liat","Mulkan",3028.79,329911,8,"19/62"
"Kepulauan Riau","Kabupaten Bangka Barat","Muntok","Sukirman",2884.15,204612,6,"6/60"
"Kepulauan Riau","Kabupaten Bangka Selatan","Toboali","Riza Herdavid",3607.08,198189,8,"3/50"
"Kepulauan Riau","Kabupaten Bangka Tengah","Koba","Algafry Rahman",2269.03,192429,6,"7/56"
"Kepulauan Riau","Kabupaten Belitung","Tanjung Pandan","Sahani Saleh",2293.69,184004,5,"7/42"
"Kepulauan Riau","Kabupaten Belitung Timur","Manggar","Burhanudin",2506.91,126939,7,"-/39"
"Kepulauan Riau","Kota Pangkalpinang","-","Maulan Aklil",104.41,218569,7,"42/-"
"Kepulauan Bangka Belitung","Kabupaten Bintan","Bandar Seri Bentan","Roby Kurniawan",1317.15,185647,10,"15/36"
"Kepulauan Bangka Belitung","Kabupaten Karimun","Tanjung Balai Karimun","Aunur Rafiq",930.45,291863,14,"29/42"
"Kepulauan Bangka Belitung","Kabupaten Kepulauan Anambas","Tarempa","Abdul Haris",627.03,51034,9,"2/52"
"Kepulauan Bangka Belitung","Kabupaten Lingga","Daik","M. Nizar",2210.82,123130,13,"9/75"
